Movie_Name,Certificate,Duration,Year,Rating,Genre,Vote,Gross,Country,Language,Budget
Citizen Kane,PG,119,1941,8.3,"Drama, Mystery",361443,1585634,USA,English,839727
The Godfather,R,175,1972,9.2,"Crime, Drama",1430061,134966411,USA,English,6000000
The Wizard of Oz,PG,102,1939,8,"Adventure, Family, Fantasy",350414,2076020,USA,English,2800000
The Shawshank Redemption,R,142,1994,9.3,Drama,2083958,28341469,USA,English,25000000
Pulp Fiction,R,154,1994,8.9,"Crime, Drama",1628927,107928762,USA,English,8000000
Casablanca,PG,102,1942,8.5,"Drama, Romance, War",473421,1024560,USA,English,950000
The Third Man,Not Rated,93,1949,8.2,"Film-Noir, Mystery, Thriller",143227,449191,UK,English,0
Star Wars: Episode V - The Empire Strikes Back,PG,124,1980,8.7,"Action, Adventure, Fantasy",1045240,290475067,USA,English,18000000
Schindler's List,R,195,1993,8.9,"Biography, Drama, History",1080108,96067179,USA,English,22000000
Apocalypse Now,R,147,1979,8.5,"Drama, War",544811,83471511,USA,English,31500000
Goodfellas,R,146,1990,8.7,"Biography, Crime, Drama",899425,46836394,USA,English,25000000
Singin' in the Rain,G,103,1952,8.3,"Comedy, Musical, Romance",195243,8819028,USA,English,2540800
Psycho,R,109,1960,8.5,"Horror, Mystery, Thriller",533726,32000000,USA,English,806947
2001: A Space Odyssey,G,149,1968,8.3,"Adventure, Sci-Fi",538646,56954992,UK,English,12000000
Fight Club,R,139,1999,8.8,Drama,1666341,37030102,USA,English,63000000
Raging Bull,R,129,1980,8.2,"Biography, Drama, Sport",286355,23383987,USA,English,18000000
Taxi Driver,R,114,1976,8.3,"Crime, Drama",632313,28262574,USA,English,1300000
Seven Samurai,Not Rated,207,1954,8.7,"Adventure, Drama",281725,269061,Japan,Japanese,2000000
The 400 Blows,Not Rated,99,1959,8.1,"Crime, Drama",91753,509,France,French,0
12 Angry Men,Not Rated,96,1957,8.9,Drama,589712,4360000,USA,English,350000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,95,1964,8.4,Comedy,412510,275902,USA,English,1800000
Vertigo,PG,128,1958,8.3,"Mystery, Romance, Thriller",318174,3200000,USA,English,2479000
"The Good, the Bad and the Ugly",R,178,1966,8.9,Western,618604,6100000,Italy,Italian,1200000
City Lights,G,87,1931,8.5,"Comedy, Drama, Romance",145699,19181,USA,English,1500000
Gone with the Wind,Passed,238,1939,8.2,"Drama, History, Romance",262980,198676459,USA,English,3977000
On the Waterfront,Not Rated,108,1954,8.2,"Crime, Drama, Thriller",128214,9600000,USA,English,910000
The Godfather: Part II,R,202,1974,9,"Crime, Drama",993107,57300000,USA,English,13000000
The Dark Knight,PG-13,152,2008,9,"Action, Crime, Drama",2050478,534858444,USA,English,185000000
Blade Runner,R,117,1982,8.2,"Sci-Fi, Thriller",624007,27000000,USA,English,28000000
Star Wars: Episode IV - A New Hope,PG,121,1977,8.6,"Action, Adventure, Fantasy",1114635,322740140,USA,English,11000000
All About Eve,Not Rated,138,1950,8.3,Drama,107384,10177,USA,English,1400000
Raiders of the Lost Ark,PG,115,1981,8.5,"Action, Adventure",806672,248159971,USA,English,18000000
Back to the Future,PG,116,1985,8.5,"Adventure, Comedy, Sci-Fi",928241,210609762,USA,English,19000000
Lawrence of Arabia,Approved,216,1962,8.3,"Adventure, Biography, Drama",240526,44824144,UK,English,15000000
Jaws,PG,124,1975,8,"Adventure, Drama, Thriller",507465,260000000,USA,English,8000000
12 Years a Slave,R,134,2013,8.1,"Biography, Drama, History",573681,56671993,USA,English,20000000
The Apartment,Not Rated,125,1960,8.3,"Comedy, Drama, Romance",142591,18600000,USA,English,3000000
Chinatown,R,130,1974,8.2,"Drama, Mystery, Thriller",264585,29200000,USA,English,6000000
Some Like It Hot,Not Rated,121,1959,8.2,"Comedy, Romance",218926,25000000,USA,English,2883848
The Cabinet of Dr. Caligari,Not Rated,67,1920,8.1,"Fantasy, Horror, Mystery",49491,8811,Germany,None,18000
The Great Dictator,Passed,125,1940,8.5,"Comedy, Drama, War",179075,87339667,USA,English,2000000
The Lord of the Rings: The Fellowship of the Ring,PG-13,178,2001,8.8,"Adventure, Drama, Fantasy",1499348,315544750,New Zealand,English,93000000
Alien,R,117,1979,8.5,"Horror, Sci-Fi",708982,78900000,UK,English,11000000
The Searchers,Passed,119,1956,8,"Adventure, Drama, Western",72807,0,USA,English,3750000
Andrei Rublev,R,205,1966,8.2,"Biography, Drama, History",38494,102021,Soviet Union,Russian,15367
Spotlight,R,129,2015,8.1,"Crime, Drama",361838,45055776,USA,English,20000000
Once Upon a Time in the West,PG-13,165,1968,8.5,Western,269578,5321508,Italy,Italian,5000000
Moonlight,R,111,2016,7.4,Drama,225187,27850912,USA,English,1500000
Metropolis,Not Rated,153,1927,8.3,"Drama, Sci-Fi",142435,1236166,Germany,German,3422080
The Lord of the Rings: The Return of the King,PG-13,201,2003,8.9,"Adventure, Drama, Fantasy",1483296,377845905,New Zealand,English,94000000
Modern Times,G,87,1936,8.5,"Comedy, Drama, Family",188791,163245,USA,English,1500000
Aliens,R,137,1986,8.4,"Action, Adventure, Sci-Fi",597027,85160248,USA,English,18500000
It Happened One Night,Not Rated,105,1934,8.1,"Comedy, Romance",84336,4360000,USA,English,325000
Laura,Passed,88,1944,8,"Drama, Film-Noir, Mystery",38249,4360000,USA,English,1020000
Terminator 2: Judgment Day,R,137,1991,8.5,"Action, Sci-Fi",901636,204843350,USA,English,102000000
A Clockwork Orange,R,136,1971,8.3,"Crime, Drama, Sci-Fi",684637,26589355,UK,English,2200000
E.T. the Extra-Terrestrial,PG,115,1982,7.9,"Family, Sci-Fi",335259,435110554,USA,English,10500000
Nosferatu,Not Rated,81,1922,8,"Fantasy, Horror",80368,0,Germany,German,0
Snow White and the Seven Dwarfs,G,83,1937,7.6,"Animation, Family, Fantasy",163329,184925485,USA,English,2000000
The Battle of Algiers,Not Rated,121,1966,8.1,"Drama, War",46872,55908,Italy,French,800000
La Grande Illusion,Not Rated,113,1937,8.1,"Drama, War",30924,172885,France,French,0
North by Northwest,Not Rated,136,1959,8.3,"Adventure, Mystery, Thriller",270111,13275000,USA,English,3101000
Butch Cassidy and the Sundance Kid,PG,110,1969,8.1,"Biography, Crime, Drama",186381,102308889,USA,English,6000000
Repulsion,Not Rated,105,1965,7.8,"Drama, Horror, Thriller",43405,0,UK,English,300000
The Maltese Falcon,Not Rated,100,1941,8.1,"Film-Noir, Mystery",139829,2108060,USA,English,375000
Gravity,PG-13,91,2013,7.7,"Drama, Sci-Fi, Thriller",705719,274092705,UK,English,100000000
Sunset Blvd.,Not Rated,110,1950,8.4,"Drama, Film-Noir",177851,299645,USA,English,1752000
King Kong,Passed,100,1933,7.9,"Adventure, Horror, Sci-Fi",73378,10000000,USA,English,670000
Toy Story,G,81,1995,8.3,"Animation, Adventure, Comedy",786423,191796233,USA,English,30000000
Rear Window,PG,112,1954,8.5,"Mystery, Thriller",396091,36764313,USA,English,1000000
Rashômon,Not Rated,88,1950,8.3,"Crime, Drama, Mystery",133378,96568,Japan,Japanese,250000
The Adventures of Robin Hood,PG,102,1938,8,"Action, Adventure, Romance",43773,3981000,USA,English,1900000
A Hard Day's Night,G,87,1964,7.7,"Comedy, Music, Musical",36704,13780024,UK,English,560000
Bride of Frankenstein,Not Rated,75,1935,7.9,"Drama, Horror, Sci-Fi",38961,0,USA,English,397024
M,Not Rated,99,1931,8.3,"Crime, Mystery, Thriller",126665,28877,Germany,German,0
The Philadelphia Story,Not Rated,112,1940,8,"Comedy, Romance",58293,404524,USA,English,914000
The Treasure of the Sierra Madre,Passed,126,1948,8.2,"Adventure, Drama, Western",101694,5014000,USA,English,3000000
All Quiet on the Western Front,Not Rated,136,1930,8.1,"Drama, War",53253,3270000,USA,English,1448864
Bicycle Thieves,Not Rated,89,1948,8.3,Drama,126110,332930,Italy,Italian,133000
